segment_name,confidence_assessment,openface_dominant_emotion_approx,openface_emotion_scores,openface_au_means,openface_AU01_r,openface_AU02_r,openface_AU04_r,openface_AU05_r,openface_AU06_r,openface_AU07_r,openface_AU09_r,openface_AU10_r,openface_AU12_r,openface_AU14_r,openface_AU15_r,openface_AU17_r,openface_AU20_r,openface_AU23_r,openface_AU25_r,openface_AU26_r,openface_AU45_r,openface_happy,openface_surprised,openface_angry,openface_sad
8Dv2Hdf5TRg_seg010,4.0,angry,"{'AU01_r': 0.226, 'AU02_r': 0.096, 'AU04_r': 1.003, 'AU05_r': 0.092, 'AU06_r': 0.806, 'AU07_r': 1.114, 'AU09_r': 0.101, 'AU10_r': 0.944, 'AU12_r': 0.53, 'AU14_r': 0.257, 'AU15_r': 0.292, 'AU17_r': 0.715, 'AU20_r': 0.138, 'AU23_r': 0.359, 'AU25_r': 0.591, 'AU26_r': 0.986, 'AU45_r': 0.329}","{'happy': 0.53, 'surprised': 0.322, 'angry': 1.003, 'sad': 0.292}",0.226,0.096,1.003,0.092,0.806,1.114,0.101,0.944,0.53,0.257,0.292,0.715,0.138,0.359,0.591,0.986,0.329,0.53,0.322,1.003,0.292
8Dv2Hdf5TRg_seg011,3.0,angry,"{'AU01_r': 0.248, 'AU02_r': 0.182, 'AU04_r': 0.991, 'AU05_r': 0.123, 'AU06_r': 0.521, 'AU07_r': 0.824, 'AU09_r': 0.192, 'AU10_r': 0.635, 'AU12_r': 0.361, 'AU14_r': 0.139, 'AU15_r': 0.326, 'AU17_r': 0.649, 'AU20_r': 0.205, 'AU23_r': 0.36, 'AU25_r': 0.613, 'AU26_r': 0.665, 'AU45_r': 0.215}","{'happy': 0.361, 'surprised': 0.43, 'angry': 0.991, 'sad': 0.326}",0.248,0.182,0.991,0.123,0.521,0.824,0.192,0.635,0.361,0.139,0.326,0.649,0.205,0.36,0.613,0.665,0.215,0.361,0.43,0.991,0.326
8Dv2Hdf5TRg_seg012,2.0,angry,"{'AU01_r': 0.208, 'AU02_r': 0.14, 'AU04_r': 0.838, 'AU05_r': 0.047, 'AU06_r': 0.454, 'AU07_r': 0.597, 'AU09_r': 0.137, 'AU10_r': 0.928, 'AU12_r': 0.408, 'AU14_r': 0.061, 'AU15_r': 0.177, 'AU17_r': 0.515, 'AU20_r': 0.109, 'AU23_r': 0.32, 'AU25_r': 0.582, 'AU26_r': 0.588, 'AU45_r': 0.247}","{'happy': 0.408, 'surprised': 0.349, 'angry': 0.838, 'sad': 0.177}",0.208,0.14,0.838,0.047,0.454,0.597,0.137,0.928,0.408,0.061,0.177,0.515,0.109,0.32,0.582,0.588,0.247,0.408,0.349,0.838,0.177
8Dv2Hdf5TRg_seg013,3.0,angry,"{'AU01_r': 0.331, 'AU02_r': 0.134, 'AU04_r': 0.929, 'AU05_r': 0.097, 'AU06_r': 0.481, 'AU07_r': 0.736, 'AU09_r': 0.07, 'AU10_r': 0.803, 'AU12_r': 0.573, 'AU14_r': 0.145, 'AU15_r': 0.282, 'AU17_r': 0.808, 'AU20_r': 0.139, 'AU23_r': 0.378, 'AU25_r': 0.699, 'AU26_r': 0.83, 'AU45_r': 0.243}","{'happy': 0.573, 'surprised': 0.465, 'angry': 0.929, 'sad': 0.282}",0.331,0.134,0.929,0.097,0.481,0.736,0.07,0.803,0.573,0.145,0.282,0.808,0.139,0.378,0.699,0.83,0.243,0.573,0.465,0.929,0.282
8Dv2Hdf5TRg_seg014,3.0,angry,"{'AU01_r': 0.318, 'AU02_r': 0.121, 'AU04_r': 0.957, 'AU05_r': 0.051, 'AU06_r': 0.407, 'AU07_r': 0.706, 'AU09_r': 0.091, 'AU10_r': 0.899, 'AU12_r': 0.578, 'AU14_r': 0.115, 'AU15_r': 0.125, 'AU17_r': 0.546, 'AU20_r': 0.178, 'AU23_r': 0.202, 'AU25_r': 0.492, 'AU26_r': 0.41, 'AU45_r': 0.199}","{'happy': 0.578, 'surprised': 0.439, 'angry': 0.957, 'sad': 0.125}",0.318,0.121,0.957,0.051,0.407,0.706,0.091,0.899,0.578,0.115,0.125,0.546,0.178,0.202,0.492,0.41,0.199,0.578,0.439,0.957,0.125
8Dv2Hdf5TRg_seg015,3.0,angry,"{'AU01_r': 0.203, 'AU02_r': 0.223, 'AU04_r': 0.797, 'AU05_r': 0.083, 'AU06_r': 0.491, 'AU07_r': 0.676, 'AU09_r': 0.101, 'AU10_r': 0.961, 'AU12_r': 0.527, 'AU14_r': 0.226, 'AU15_r': 0.26, 'AU17_r': 0.57, 'AU20_r': 0.143, 'AU23_r': 0.343, 'AU25_r': 0.669, 'AU26_r': 1.022, 'AU45_r': 0.223}","{'happy': 0.527, 'surprised': 0.426, 'angry': 0.797, 'sad': 0.26}",0.203,0.223,0.797,0.083,0.491,0.676,0.101,0.961,0.527,0.226,0.26,0.57,0.143,0.343,0.669,1.022,0.223,0.527,0.426,0.797,0.26
8Dv2Hdf5TRg_seg016,2.0,angry,"{'AU01_r': 0.199, 'AU02_r': 0.14, 'AU04_r': 0.654, 'AU05_r': 0.072, 'AU06_r': 0.379, 'AU07_r': 0.603, 'AU09_r': 0.064, 'AU10_r': 0.496, 'AU12_r': 0.258, 'AU14_r': 0.229, 'AU15_r': 0.271, 'AU17_r': 0.464, 'AU20_r': 0.124, 'AU23_r': 0.29, 'AU25_r': 0.535, 'AU26_r': 0.917, 'AU45_r': 0.209}","{'happy': 0.258, 'surprised': 0.34, 'angry': 0.654, 'sad': 0.271}",0.199,0.14,0.654,0.072,0.379,0.603,0.064,0.496,0.258,0.229,0.271,0.464,0.124,0.29,0.535,0.917,0.209,0.258,0.34,0.654,0.271
8Dv2Hdf5TRg_seg017,3.0,angry,"{'AU01_r': 0.271, 'AU02_r': 0.181, 'AU04_r': 1.048, 'AU05_r': 0.077, 'AU06_r': 0.589, 'AU07_r': 0.884, 'AU09_r': 0.12, 'AU10_r': 1.076, 'AU12_r': 0.609, 'AU14_r': 0.126, 'AU15_r': 0.257, 'AU17_r': 0.61, 'AU20_r': 0.174, 'AU23_r': 0.376, 'AU25_r': 0.623, 'AU26_r': 0.564, 'AU45_r': 0.256}","{'happy': 0.609, 'surprised': 0.453, 'angry': 1.048, 'sad': 0.257}",0.271,0.181,1.048,0.077,0.589,0.884,0.12,1.076,0.609,0.126,0.257,0.61,0.174,0.376,0.623,0.564,0.256,0.609,0.453,1.048,0.257
8Dv2Hdf5TRg_seg018,4.0,angry,"{'AU01_r': 0.244, 'AU02_r': 0.124, 'AU04_r': 0.841, 'AU05_r': 0.074, 'AU06_r': 0.674, 'AU07_r': 1.184, 'AU09_r': 0.106, 'AU10_r': 1.014, 'AU12_r': 0.698, 'AU14_r': 0.396, 'AU15_r': 0.253, 'AU17_r': 0.484, 'AU20_r': 0.176, 'AU23_r': 0.194, 'AU25_r': 0.472, 'AU26_r': 0.711, 'AU45_r': 0.207}","{'happy': 0.698, 'surprised': 0.368, 'angry': 0.841, 'sad': 0.253}",0.244,0.124,0.841,0.074,0.674,1.184,0.106,1.014,0.698,0.396,0.253,0.484,0.176,0.194,0.472,0.711,0.207,0.698,0.368,0.841,0.253
8Dv2Hdf5TRg_seg019,3.0,angry,"{'AU01_r': 0.471, 'AU02_r': 0.149, 'AU04_r': 0.747, 'AU05_r': 0.085, 'AU06_r': 0.71, 'AU07_r': 1.228, 'AU09_r': 0.126, 'AU10_r': 0.734, 'AU12_r': 0.587, 'AU14_r': 0.212, 'AU15_r': 0.239, 'AU17_r': 0.765, 'AU20_r': 0.218, 'AU23_r': 0.338, 'AU25_r': 0.72, 'AU26_r': 0.939, 'AU45_r': 0.329}","{'happy': 0.587, 'surprised': 0.62, 'angry': 0.747, 'sad': 0.239}",0.471,0.149,0.747,0.085,0.71,1.228,0.126,0.734,0.587,0.212,0.239,0.765,0.218,0.338,0.72,0.939,0.329,0.587,0.62,0.747,0.239
8Dv2Hdf5TRg_seg020,4.0,angry,"{'AU01_r': 0.368, 'AU02_r': 0.174, 'AU04_r': 0.988, 'AU05_r': 0.097, 'AU06_r': 0.808, 'AU07_r': 1.398, 'AU09_r': 0.096, 'AU10_r': 1.23, 'AU12_r': 0.862, 'AU14_r': 0.307, 'AU15_r': 0.217, 'AU17_r': 0.67, 'AU20_r': 0.195, 'AU23_r': 0.259, 'AU25_r': 0.666, 'AU26_r': 0.799, 'AU45_r': 0.285}","{'happy': 0.862, 'surprised': 0.542, 'angry': 0.988, 'sad': 0.217}",0.368,0.174,0.988,0.097,0.808,1.398,0.096,1.23,0.862,0.307,0.217,0.67,0.195,0.259,0.666,0.799,0.285,0.862,0.542,0.988,0.217
8XQ1onjXJK0_seg000,4.0,sad,"{'AU01_r': 0.399, 'AU02_r': 0.259, 'AU04_r': 0.905, 'AU05_r': 0.153, 'AU06_r': 0.815, 'AU07_r': 1.234, 'AU09_r': 0.146, 'AU10_r': 0.772, 'AU12_r': 0.565, 'AU14_r': 0.607, 'AU15_r': 1.068, 'AU17_r': 0.893, 'AU20_r': 0.313, 'AU23_r': 0.435, 'AU25_r': 0.808, 'AU26_r': 0.685, 'AU45_r': 0.247}","{'happy': 0.565, 'surprised': 0.658, 'angry': 0.905, 'sad': 1.068}",0.399,0.259,0.905,0.153,0.815,1.234,0.146,0.772,0.565,0.607,1.068,0.893,0.313,0.435,0.808,0.685,0.247,0.565,0.658,0.905,1.068
8XQ1onjXJK0_seg001,4.0,surprised,"{'AU01_r': 0.502, 'AU02_r': 0.198, 'AU04_r': 0.346, 'AU05_r': 0.052, 'AU06_r': 0.308, 'AU07_r': 0.509, 'AU09_r': 0.283, 'AU10_r': 0.943, 'AU12_r': 0.49, 'AU14_r': 0.305, 'AU15_r': 0.388, 'AU17_r': 0.643, 'AU20_r': 0.109, 'AU23_r': 0.187, 'AU25_r': 0.394, 'AU26_r': 0.612, 'AU45_r': 0.246}","{'happy': 0.49, 'surprised': 0.701, 'angry': 0.346, 'sad': 0.388}",0.502,0.198,0.346,0.052,0.308,0.509,0.283,0.943,0.49,0.305,0.388,0.643,0.109,0.187,0.394,0.612,0.246,0.49,0.701,0.346,0.388
8XQ1onjXJK0_seg002,4.0,angry,"{'AU01_r': 0.217, 'AU02_r': 0.075, 'AU04_r': 0.322, 'AU05_r': 0.071, 'AU06_r': 0.364, 'AU07_r': 0.83, 'AU09_r': 0.073, 'AU10_r': 0.393, 'AU12_r': 0.241, 'AU14_r': 0.133, 'AU15_r': 0.234, 'AU17_r': 0.522, 'AU20_r': 0.13, 'AU23_r': 0.09, 'AU25_r': 0.359, 'AU26_r': 0.505, 'AU45_r': 0.136}","{'happy': 0.241, 'surprised': 0.293, 'angry': 0.322, 'sad': 0.234}",0.217,0.075,0.322,0.071,0.364,0.83,0.073,0.393,0.241,0.133,0.234,0.522,0.13,0.09,0.359,0.505,0.136,0.241,0.293,0.322,0.234
8XQ1onjXJK0_seg003,3.0,surprised,"{'AU01_r': 0.442, 'AU02_r': 0.062, 'AU04_r': 0.477, 'AU05_r': 0.022, 'AU06_r': 0.362, 'AU07_r': 0.709, 'AU09_r': 0.165, 'AU10_r': 0.595, 'AU12_r': 0.208, 'AU14_r': 0.447, 'AU15_r': 0.361, 'AU17_r': 0.699, 'AU20_r': 0.194, 'AU23_r': 0.364, 'AU25_r': 0.444, 'AU26_r': 0.755, 'AU45_r': 0.168}","{'happy': 0.208, 'surprised': 0.504, 'angry': 0.477, 'sad': 0.361}",0.442,0.062,0.477,0.022,0.362,0.709,0.165,0.595,0.208,0.447,0.361,0.699,0.194,0.364,0.444,0.755,0.168,0.208,0.504,0.477,0.361
8XQ1onjXJK0_seg004,2.0,angry,"{'AU01_r': 0.426, 'AU02_r': 0.098, 'AU04_r': 0.743, 'AU05_r': 0.067, 'AU06_r': 0.39, 'AU07_r': 0.702, 'AU09_r': 0.142, 'AU10_r': 0.81, 'AU12_r': 0.307, 'AU14_r': 0.366, 'AU15_r': 0.619, 'AU17_r': 0.52, 'AU20_r': 0.359, 'AU23_r': 0.288, 'AU25_r': 0.639, 'AU26_r': 0.692, 'AU45_r': 0.209}","{'happy': 0.307, 'surprised': 0.524, 'angry': 0.743, 'sad': 0.619}",0.426,0.098,0.743,0.067,0.39,0.702,0.142,0.81,0.307,0.366,0.619,0.52,0.359,0.288,0.639,0.692,0.209,0.307,0.524,0.743,0.619
8XQ1onjXJK0_seg005,3.0,angry,"{'AU01_r': 0.354, 'AU02_r': 0.116, 'AU04_r': 0.531, 'AU05_r': 0.065, 'AU06_r': 0.398, 'AU07_r': 0.645, 'AU09_r': 0.102, 'AU10_r': 0.551, 'AU12_r': 0.146, 'AU14_r': 0.328, 'AU15_r': 0.359, 'AU17_r': 0.854, 'AU20_r': 0.184, 'AU23_r': 0.157, 'AU25_r': 0.578, 'AU26_r': 0.636, 'AU45_r': 0.177}","{'happy': 0.146, 'surprised': 0.469, 'angry': 0.531, 'sad': 0.359}",0.354,0.116,0.531,0.065,0.398,0.645,0.102,0.551,0.146,0.328,0.359,0.854,0.184,0.157,0.578,0.636,0.177,0.146,0.469,0.531,0.359
8XQ1onjXJK0_seg006,2.0,sad,"{'AU01_r': 0.243, 'AU02_r': 0.109, 'AU04_r': 0.573, 'AU05_r': 0.036, 'AU06_r': 0.296, 'AU07_r': 0.455, 'AU09_r': 0.126, 'AU10_r': 0.511, 'AU12_r': 0.151, 'AU14_r': 0.236, 'AU15_r': 0.945, 'AU17_r': 0.635, 'AU20_r': 0.346, 'AU23_r': 0.195, 'AU25_r': 0.472, 'AU26_r': 0.506, 'AU45_r': 0.166}","{'happy': 0.151, 'surprised': 0.352, 'angry': 0.573, 'sad': 0.945}",0.243,0.109,0.573,0.036,0.296,0.455,0.126,0.511,0.151,0.236,0.945,0.635,0.346,0.195,0.472,0.506,0.166,0.151,0.352,0.573,0.945
8XQ1onjXJK0_seg007,2.0,angry,"{'AU01_r': 0.248, 'AU02_r': 0.143, 'AU04_r': 0.972, 'AU05_r': 0.058, 'AU06_r': 0.281, 'AU07_r': 1.411, 'AU09_r': 0.124, 'AU10_r': 0.564, 'AU12_r': 0.101, 'AU14_r': 0.337, 'AU15_r': 0.25, 'AU17_r': 0.697, 'AU20_r': 0.066, 'AU23_r': 0.133, 'AU25_r': 0.381, 'AU26_r': 0.567, 'AU45_r': 0.282}","{'happy': 0.101, 'surprised': 0.391, 'angry': 0.972, 'sad': 0.25}",0.248,0.143,0.972,0.058,0.281,1.411,0.124,0.564,0.101,0.337,0.25,0.697,0.066,0.133,0.381,0.567,0.282,0.101,0.391,0.972,0.25
8XQ1onjXJK0_seg008,2.0,surprised,"{'AU01_r': 0.484, 'AU02_r': 0.028, 'AU04_r': 0.492, 'AU05_r': 0.008, 'AU06_r': 0.211, 'AU07_r': 0.338, 'AU09_r': 0.195, 'AU10_r': 0.35, 'AU12_r': 0.237, 'AU14_r': 0.247, 'AU15_r': 0.134, 'AU17_r': 0.325, 'AU20_r': 0.18, 'AU23_r': 0.381, 'AU25_r': 0.379, 'AU26_r': 0.416, 'AU45_r': 0.097}","{'happy': 0.237, 'surprised': 0.511, 'angry': 0.492, 'sad': 0.134}",0.484,0.028,0.492,0.008,0.211,0.338,0.195,0.35,0.237,0.247,0.134,0.325,0.18,0.381,0.379,0.416,0.097,0.237,0.511,0.492,0.134
8XQ1onjXJK0_seg009,1.0,angry,"{'AU01_r': 0.313, 'AU02_r': 0.151, 'AU04_r': 0.507, 'AU05_r': 0.067, 'AU06_r': 0.358, 'AU07_r': 0.589, 'AU09_r': 0.138, 'AU10_r': 0.568, 'AU12_r': 0.24, 'AU14_r': 0.388, 'AU15_r': 0.332, 'AU17_r': 0.474, 'AU20_r': 0.151, 'AU23_r': 0.133, 'AU25_r': 0.441, 'AU26_r': 0.521, 'AU45_r': 0.125}","{'happy': 0.24, 'surprised': 0.464, 'angry': 0.507, 'sad': 0.332}",0.313,0.151,0.507,0.067,0.358,0.589,0.138,0.568,0.24,0.388,0.332,0.474,0.151,0.133,0.441,0.521,0.125,0.24,0.464,0.507,0.332
8XQ1onjXJK0_seg010,2.0,sad,"{'AU01_r': 0.095, 'AU02_r': 0.037, 'AU04_r': 0.205, 'AU05_r': 0.051, 'AU06_r': 0.215, 'AU07_r': 0.221, 'AU09_r': 0.077, 'AU10_r': 0.213, 'AU12_r': 0.088, 'AU14_r': 0.113, 'AU15_r': 0.379, 'AU17_r': 0.173, 'AU20_r': 0.091, 'AU23_r': 0.051, 'AU25_r': 0.219, 'AU26_r': 0.329, 'AU45_r': 0.065}","{'happy': 0.088, 'surprised': 0.131, 'angry': 0.205, 'sad': 0.379}",0.095,0.037,0.205,0.051,0.215,0.221,0.077,0.213,0.088,0.113,0.379,0.173,0.091,0.051,0.219,0.329,0.065,0.088,0.131,0.205,0.379
8XQ1onjXJK0_seg011,2.0,angry,"{'AU01_r': 0.578, 'AU02_r': 0.134, 'AU04_r': 0.723, 'AU05_r': 0.125, 'AU06_r': 0.541, 'AU07_r': 1.421, 'AU09_r': 0.2, 'AU10_r': 0.889, 'AU12_r': 0.256, 'AU14_r': 0.603, 'AU15_r': 0.424, 'AU17_r': 1.238, 'AU20_r': 0.203, 'AU23_r': 0.553, 'AU25_r': 0.592, 'AU26_r': 0.775, 'AU45_r': 0.217}","{'happy': 0.256, 'surprised': 0.713, 'angry': 0.723, 'sad': 0.424}",0.578,0.134,0.723,0.125,0.541,1.421,0.2,0.889,0.256,0.603,0.424,1.238,0.203,0.553,0.592,0.775,0.217,0.256,0.713,0.723,0.424
8XQ1onjXJK0_seg012,1.0,angry,"{'AU01_r': 0.636, 'AU02_r': 0.15, 'AU04_r': 0.984, 'AU05_r': 0.087, 'AU06_r': 0.785, 'AU07_r': 1.029, 'AU09_r': 0.155, 'AU10_r': 1.026, 'AU12_r': 0.509, 'AU14_r': 0.745, 'AU15_r': 0.48, 'AU17_r': 1.013, 'AU20_r': 0.206, 'AU23_r': 0.461, 'AU25_r': 0.63, 'AU26_r': 0.995, 'AU45_r': 0.212}","{'happy': 0.509, 'surprised': 0.786, 'angry': 0.984, 'sad': 0.48}",0.636,0.15,0.984,0.087,0.785,1.029,0.155,1.026,0.509,0.745,0.48,1.013,0.206,0.461,0.63,0.995,0.212,0.509,0.786,0.984,0.48
8XQ1onjXJK0_seg013,3.0,angry,"{'AU01_r': 0.553, 'AU02_r': 0.184, 'AU04_r': 1.074, 'AU05_r': 0.121, 'AU06_r': 0.708, 'AU07_r': 1.022, 'AU09_r': 0.176, 'AU10_r': 0.841, 'AU12_r': 0.644, 'AU14_r': 0.702, 'AU15_r': 0.915, 'AU17_r': 0.906, 'AU20_r': 0.216, 'AU23_r': 0.372, 'AU25_r': 0.894, 'AU26_r': 0.635, 'AU45_r': 0.201}","{'happy': 0.644, 'surprised': 0.736, 'angry': 1.074, 'sad': 0.915}",0.553,0.184,1.074,0.121,0.708,1.022,0.176,0.841,0.644,0.702,0.915,0.906,0.216,0.372,0.894,0.635,0.201,0.644,0.736,1.074,0.915
8XQ1onjXJK0_seg014,2.0,sad,"{'AU01_r': 0.466, 'AU02_r': 0.143, 'AU04_r': 0.779, 'AU05_r': 0.024, 'AU06_r': 0.514, 'AU07_r': 0.781, 'AU09_r': 0.336, 'AU10_r': 0.371, 'AU12_r': 0.178, 'AU14_r': 0.217, 'AU15_r': 1.921, 'AU17_r': 1.577, 'AU20_r': 1.541, 'AU23_r': 0.534, 'AU25_r': 1.336, 'AU26_r': 2.836, 'AU45_r': 0.282}","{'happy': 0.178, 'surprised': 0.61, 'angry': 0.779, 'sad': 1.921}",0.466,0.143,0.779,0.024,0.514,0.781,0.336,0.371,0.178,0.217,1.921,1.577,1.541,0.534,1.336,2.836,0.282,0.178,0.61,0.779,1.921
